id,speed
0,49.083897
1,48.181705
2,38.76637
3,29.291895
4,40.9132
5,26.788773
6,19.765232
7,49.006348
8,47.379864
9,27.789175
10,23.013256
11,17.264385
12,18.43504
13,17.813713
14,24.549618
15,38.820805
16,40.873936
17,46.796078
18,47.9054
19,47.9413
20,46.555885
21,43.810856
22,17.334131
23,22.027925
24,22.90557
25,16.105171
26,18.220644
27,17.643852
28,11.706724
29,9.24222
30,20.787884
31,46.52483
32,48.783558
33,27.25947
34,22.229315
35,23.145077
36,19.760223
37,20.89541
38,44.69735
39,38.36657
40,43.52837
41,47.7781
42,48.550156
43,44.141914
44,18.669971
45,17.613733
46,18.10336
47,10.795664
48,46.32564
49,47.04302
50,48.19903
51,28.732592
52,27.323973
53,23.105495
54,21.029303
55,20.782276
56,19.938047
57,19.505535
58,31.783087
59,31.050467
60,40.743374
61,39.02402
62,40.97539
63,42.992733
64,43.523155
65,48.733475
66,48.260105
67,47.000774
68,44.764988
69,28.289581
70,25.880472
71,24.678276
72,21.38553
73,23.385395
74,18.438086
75,11.351039
76,47.07903
77,42.813393
78,46.93913
79,49.006348
80,15.578064
81,17.403452
82,23.013256
83,17.264385
84,17.813713
85,14.51936
86,24.549618
87,38.820805
88,46.194866
89,40.873936
90,48.656094
91,47.9413
92,47.271343
93,46.555885
94,26.934465
95,15.315151
96,22.027925
97,11.706724
98,9.24222
99,20.787884
100,42.89892
101,47.150257
102,15.187519
103,17.80021
104,15.43782
105,44.69735
106,38.36657
107,48.550156
108,44.141914
109,18.667463
110,12.062911
111,10.795664
112,22.064068
113,36.95157
114,39.709953
115,48.19903
116,48.500076
117,41.84842
118,23.105495
119,20.782276
120,20.145626
121,19.505535
122,31.050467
123,47.300377
124,46.950394
125,40.743374
126,42.992733
127,40.875103
128,41.823948
129,36.704834
130,48.733475
131,47.571964
132,47.000774
133,24.678276
134,21.38553
135,18.029747
136,39.60794
137,47.07903
138,49.006348
139,47.732983
140,46.764103
141,44.725143
142,27.789175
143,15.578064
144,21.87065
145,17.264385
146,17.813713
147,47.9054
148,48.656094
149,47.131886
150,47.271343
151,16.858225
152,17.949282
153,18.220644
154,9.24222
155,20.787884
156,37.237785
157,46.80513
158,42.89892
159,46.52483
160,48.032864
161,48.783558
162,48.20014
163,47.48497
164,44.115295
165,27.25947
166,15.187519
167,20.89541
168,18.194862
169,17.80021
170,12.250853
171,11.161272
172,44.69735
173,48.550156
174,44.141914
175,26.51323
176,22.502176
177,18.669971
178,20.21273
179,10.795664
180,46.32564
181,48.19903
182,49.21013
183,48.500076
184,41.84842
185,20.145626
186,19.938047
187,40.21132
188,31.678953
189,46.939247
190,43.33798
191,44.43368
192,42.992733
193,41.36819
194,40.262806
195,39.62875
196,40.875103
197,41.823948
198,36.704834
199,48.733475
200,47.296825
201,28.289581
202,25.880472
203,21.38553
204,18.438086
205,18.029747
206,39.60794
207,42.813393
208,48.583244
209,49.006348
210,47.379864
211,46.764103
212,27.789175
213,15.578064
214,23.013256
215,23.62566
216,17.813713
217,24.549618
218,46.194866
219,47.131886
220,46.555885
221,43.810856
222,26.934465
223,17.334131
224,9.24222
225,20.787884
226,46.52483
227,48.032864
228,17.973812
229,23.145077
230,18.194862
231,15.43782
232,43.52837
233,47.7781
234,46.899197
235,18.667463
236,22.961405
237,20.21273
238,22.064068
239,46.32564
240,36.95157
241,39.709953
242,47.04302
243,49.281406
244,48.19903
245,49.21013
246,28.128185
247,21.029303
248,20.782276
249,20.145626
250,19.938047
251,31.783087
252,42.564144
253,31.050467
254,31.678953
255,46.939247
256,46.950394
257,45.429718
258,43.33798
259,42.992733
260,41.36819
261,40.262806
262,40.875103
263,43.523155
264,33.76289
265,40.708336
266,48.260105
267,44.764988
268,19.458506
269,21.38553
270,18.438086
271,18.029747
272,18.10821
273,14.322682
274,46.93913
275,47.379864
276,48.272873
277,47.732983
278,27.789175
279,15.578064
280,17.403452
281,23.62566
282,21.87065
283,17.813713
